receta;formato;litros_past;peso_queso_total;est_kg_cuba;est_kg_queso;mg_kg_cuba;mg_kg_queso;esm_kg_cuba;esm_kg_queso;balance_est;balance_mg;balance_esm;coef_recup_mg;coef_recup_mp;coef_recup_esm
oveja dop;barra;10850;1951,0;1632,62682;1120,8495;668,4424960000001;604,81;964,1843239999998;516,0395000000001;-511,7773199999999;-63,632496000000174;-448,14482399999974;0,9048048315587641;107,5082291666667;0,5352083488136031
light;3 kg;14530;1465,0;1579,5195840000001;768,832;373,98096;296,9555;1205,5386240000003;471,8765;-810,6875840000001;-77,02546000000001;-733,6621240000002;0,7940390869096651;135,20816618911175;0,391423792324716
mezcla 2;500 g;9020;832,0;1215,215655;469,664;467,816505;244,8576;747,39915;224,8064;-745,551655;-222,95890500000002;-522,59275;0,5234052184627389;57,49524296675192;0,3007849286422121
vaca;barra;14050;2155,0;1843,541472;1070,604;676,743072;674,7305;1166,7984000000001;395,87350000000004;-772,9374720000001;-2,0125719999999774;-770,9249000000001;0,997026091461783;100,22113924050633;0,3392818330913035
oveja dop;barra;11940;2244,0;1839,0008339999997;1309,1496;741,415356;703,9428;1097,5854779999997;605,2067999999999;-529,8512339999997;-37,47255599999994;-492,3786779999998;0,9494580794736063;123,26004073319754;0,5513983303631137
light;3 kg;12780;1354,0;1240,150437;705,9756;309,07176;273,1018;931,078677;432,87379999999996;-534,174837;-35,96995999999996;-498,204877;0,8836193898789072;129,99213213213213;0,46491645732318704
vaca;barra;13910;2228,0;1835,180204;1050,0564;714,799813;675,9752000000001;1120,3803910000001;374,08119999999985;-785,1238040000001;-38,824612999999886;-746,2991910000003;0,9456846346432943;95,18605597964373;0,33388767154886756
light;3 kg;15350;1967,0;1591,4085519999999;992,9415999999999;388,454056;403,235;1202,9544959999998;589,7065999999999;-598,466952;14,780944000000034;-613,247896;1,0380506877755449;180,33840978593267;0,490215217583758
mezcla 2;barra;15440;2108,0;1955,7829499999998;1211,046;713,19314;644,8372;1242,58981;566,2088;-744,7369499999998;-68,35593999999992;-676,38101;0,9041550792258042;157,28022222222222;0,4556683110092461
vaca;barra;13790;2168,0;1820,9303280000001;1079,0136;705,753657;697,012;1115,1766710000002;382,00160000000005;-741,9167280000001;-8,741657000000032;-733,1750710000001;0,9876137276607835;97,44938775510205;0,3425480553296115
light;3 kg;15130;1714,0;1669,837302;861,4564;386,209971;337,65799999999996;1283,627331;523,7984000000001;-808,3809019999999;-48,55197100000004;-759,8289309999998;0,8742860758506931;153,15742690058482;0,40806111505271475
oveja;barra;11780;2002,0;1656,5384279999998;1123,5223999999998;652,391328;605,605;1004,1470999999998;517,9173999999998;-533,016028;-46,786328000000026;-486,2297;0,9282848713770763;119,33580645161287;0,5157784153337692
mezcla 1;3 kg;14840;2300,0;1959,049656;1309,85;748,6158220000001;696,44;1210,433834;613,4099999999999;-649,199656;-52,17582200000004;-597,0238340000001;0,9303036077161617;152,97007481296754;0,5067687161163738
mezcla 1;barra;13910;2157,0;1882,34892;1223,4504;712,202166;646,4529;1170,1467539999999;576,9975;-658,89852;-65,74926600000003;-593,1492539999999;0,9076817382215038;141,7684275184275;0,49309840669779786
vaca;barra;13390;2097,0;1726,1157759999999;1024,3845;663,7849679999999;647,7633000000001;1062,330808;376,6211999999998;-701,731276;-16,021667999999863;-685,7096080000001;0,9758631653737602;96,32255754475699;0,3545234659145834
mezcla 1;barra;12530;1909,0;1692,7353770000002;1083,1666;634,9345000000001;577,8543;1057,8008770000001;505,31230000000005;-609,5687770000002;-57,080200000000104;-552,4885770000001;0,9101006481770952;126,64468671679198;0,4777007761924932
oveja;barra;11130;1857,0;1581,0619550000001;1076,1315000000002;635,8007150000001;586,812;945,26124;489,3195000000002;-504,93045499999994;-48,98871500000007;-455,94173999999987;0,9229495754813675;107,3069078947369;0,5176553097638915
oveja dop;barra;11030;2193,0;1835,3605080000002;1281,5892;746,109038;692,7687;1089,2514700000002;588,8204999999999;-553,7713080000003;-53,34033800000009;-500,43097000000023;0,9285086558621742;111,94306083650189;0,5405735188036972
mezcla 2;3 kg;14090;1732,0;1714,0536120000002;1011,3148;625,67322;563,2464000000001;1088,380392;448,0683999999999;-702,7388120000002;-62,42681999999991;-640,3119920000001;0,9002245613133324;126,57299435028246;0,4116836386372531
oveja;barra;11450;1925,0;1596,5640720000001;1102,0625;650,5773089999999;632,7475;945,9867630000002;469,31500000000005;-494,5015720000001;-17,829808999999955;-476,67176300000017;0,9725938658583004;106,42063492063492;0,49611159305407737
mezcla 1;barra;13030;2028,0;1818,6484020000003;1151,0928;693,2067900000001;608,8056;1125,441612;542,2871999999999;-667,5556020000004;-84,40119000000004;-583,1544120000002;0,8782452924328683;135,57179999999997;0,4818439217262564
mezcla 1;500 g;9910;1438,0;1241,748636;782,2719999999999;468,167366;425,0728;773,58127;357,19919999999996;-459,4766360000001;-43,09456600000004;-416,38207000000006;0,9079505127232639;97,06499999999998;0,46174747741759564
light;500 g;12320;1322,0;1295,6710899999998;696,2974;319,03459000000004;281,0572;976,6364999999998;415,2402;-599,3736899999998;-37,977390000000014;-561,3962999999999;0,880961528340861;124,32341317365271;0,42517374683416
oveja dop;barra;11680;2195,0;1876,175;1294,8305;757,925;703,7170000000001;1118,25;591,1134999999999;-581,3444999999999;-54,207999999999856;-527,1365000000001;0,9284784114523207;119,41686868686867;0,5286058573664207
mezcla 1;3 kg;12080;2234,0;1622,7563759999998;1276,5076;623,750904;693,2102;999,0054719999998;583,2973999999999;-346,2487759999999;69,459296;-415,7080719999999;1,1113574273873918;148,80035714285714;0,5838780831022315
